Code,Description,System,Affected_Component,SSP_Reference,Common_Causes,Symptoms,Recommended_Fix
P0299,Turbocharger/Supercharger Underboost Condition,Charging System,Turbocharger / Supercharger,SSP 359 p.13-15,Boost leak in charge air pipes; faulty waste gate; worn supercharger rotors; regulating flap stuck open; N75 solenoid fault,Loss of power especially below 3500rpm; poor acceleration; no boost gauge movement,Check boost pipes for leaks; test N75 solenoid valve; inspect regulating flap J808; check waste gate operation
P0234,Turbocharger/Supercharger Overboost Condition,Charging System,Turbocharger / Supercharger,SSP 359 p.13-15,N75 solenoid valve stuck closed; waste gate actuator failed; charge pressure control hose disconnected,Engine enters limp mode; over-revving; boost gauge pegged; possible detonation,Inspect N75 valve and pressure canister; check waste gate hose and actuator diaphragm
P0236,Charge Air Pressure Sensor Circuit Range/Performance,Charging System,Charge Air Pressure Sender G31,SSP 359 p.33,Damaged sensor; chafed wiring; intake air leak before sensor; sensor contamination,Incorrect boost regulation; possible limp mode; poor throttle response,Check wiring to G31; compare G31 reading with G583 at idle; replace sensor if readings implausible
P0237,Charge Air Pressure Sensor Circuit Low Input,Charging System,Charge Air Pressure Sender G31,SSP 359 p.33,Short to ground on signal wire; failed sensor; damaged connector,No boost pressure reading; turbocharger runs unregulated; possible overboost,Inspect connector and wiring harness to G31; replace sensor
P0238,Charge Air Pressure Sensor Circuit High Input,Charging System,Charge Air Pressure Sender G31,SSP 359 p.33,Open circuit on signal wire; short to positive; failed sensor,No boost pressure reading; engine enters boost-limited mode,Inspect wiring for open circuit; check sensor supply voltage; replace sensor
P0106,Manifold Absolute Pressure Sensor Circuit Range/Performance,Intake / Charging,Intake Manifold Pressure Sender G71 with G42,SSP 359 p.32,Vacuum leak at intake manifold; blocked sensor port; wiring fault; failed sensor,Rough idle; poor fuel trim; incorrect air mass calculation; supercharger boost control fault,Check intake manifold for vacuum leaks; clean sensor port; verify wiring; replace G71 if confirmed faulty
P0107,Manifold Absolute Pressure Sensor Circuit Low Input,Intake / Charging,Intake Manifold Pressure Sender G71 with G42,SSP 359 p.32,Short to ground on signal wire; sensor failure,Incorrect MAP reading; engine may run rich; poor idle quality,Check wiring for short to ground; replace G71/G42 combined sender
P0108,Manifold Absolute Pressure Sensor Circuit High Input,Intake / Charging,Intake Manifold Pressure Sender G71 with G42,SSP 359 p.32,Open circuit on signal wire; short to positive; sensor failure,Incorrect MAP reading; supercharger boost regulation failure,Check wiring for open circuit; replace G71/G42 combined sender
P0111,Intake Air Temperature Sensor Circuit Range/Performance (Supercharger),Intake / Charging,Intake Air Temperature Sender G520 (with G583),SSP 359 p.32,Sensor exposed to excessive heat; wiring damage near supercharger,Supercharger power may be unnecessarily throttled (protective limit is 130°C); incorrect boost regulation,Inspect wiring routing near supercharger for heat damage; replace G583/G520 sender
P0112,Intake Air Temperature Sensor Circuit Low (Supercharger side),Intake / Charging,Intake Air Temperature Sender G42 (with G71),SSP 359 p.32,Short to ground; failed sensor,Incorrect IAT reading used for boost correction; possible rich fuelling,Check wiring; replace combined G71/G42 sender
P0113,Intake Air Temperature Sensor Circuit High (Supercharger side),Intake / Charging,Intake Air Temperature Sender G42 (with G71),SSP 359 p.32,Open circuit; failed sensor,Incorrect IAT reading; possible lean fuelling at cold start,Check wiring for open circuit; replace combined G71/G42 sender
P0191,Fuel Rail Pressure Sensor Circuit Range/Performance,Fuel System (High Pressure),Fuel Pressure Sender G247,SSP 359 p.40,Air in fuel system; failing high-pressure fuel pump; wiring fault; blocked fuel strainer,Engine runs rough; loss of power; potential engine stall; drastically reduced torque on failure,Check fuel supply pressure at low-pressure side; inspect high-pressure pump cam and roller tappet; check G247 wiring
P0192,Fuel Rail Pressure Sensor Circuit Low Input,Fuel System (High Pressure),Fuel Pressure Sender G247,SSP 359 p.40,Short to ground on signal circuit; failed sensor; low fuel pressure,Engine runs on reduced torque using low-pressure fallback; rough running,Check G247 wiring; verify low-pressure fuel supply; replace sensor if supply is adequate
P0193,Fuel Rail Pressure Sensor Circuit High Input,Fuel System (High Pressure),Fuel Pressure Sender G247,SSP 359 p.40,Open circuit on signal wire; failed sensor,Fuel pressure regulating valve N276 deactivated; engine runs on electrical pump pressure only,Check wiring for open circuit; replace G247
P0087,Fuel Rail Pressure Too Low,Fuel System (High Pressure),High-Pressure Fuel Pump / Fuel Pressure Regulating Valve N276,SSP 359 p.26,Worn high-pressure fuel pump; blocked fuel filter; weak electrical fuel pump G6; fuel pressure regulating valve N276 stuck open; low fuel level,Hard start; hesitation under load; lean misfire; low boost pressure visible,Check low-pressure supply (should be 0.5–6.5 bar); inspect N276 valve; check high-pressure pump roller tappet (increased stroke 5.7mm on TSI)
P0088,Fuel Rail Pressure Too High,Fuel System (High Pressure),Fuel Pressure Regulating Valve N276,SSP 359 p.26,N276 valve stuck closed; fuel return line blocked,Rough running; fuel smell; possible injector damage; rich mixture,Test N276 valve operation; check fuel return line; replace N276 if stuck
